iter	Passed	Remaining
607	1163	750
608	1164	747
609	1166	745
610	1167	743
611	1169	741
612	1170	738
613	1171	736
614	1173	734
615	1174	732
616	1175	729
617	1177	727
618	1178	725
619	1179	723
620	1180	720
621	1183	718
622	1184	716
623	1185	714
624	1187	712
625	1188	710
626	1190	708
627	1192	706
628	1193	703
629	1194	701
630	1197	700
631	1198	698
632	1200	695
633	1201	693
634	1202	691
635	1204	689
636	1205	687
637	1206	684
638	1208	682
639	1209	680
640	1210	678
641	1213	676
642	1214	674
643	1215	671
644	1216	669
645	1217	667
646	1219	665
647	1220	662
648	1221	660
649	1223	658
650	1224	656
651	1226	654
652	1228	652
653	1230	650
654	1232	648
655	1234	647
656	1236	645
657	1237	643
658	1239	641
659	1240	638
660	1242	637
661	1245	635
662	1247	634
663	1249	632
664	1250	630
665	1252	628
666	1253	626
667	1255	623
668	1257	622
669	1258	620
670	1260	617
671	1261	615
672	1263	613
673	1264	611
674	1266	609
675	1268	607
676	1269	605
677	1271	603
678	1272	601
679	1274	599
680	1275	597
681	1277	595
682	1278	593
683	1279	591
684	1281	589
685	1282	586
686	1283	584
687	1285	582
688	1287	580
689	1288	578
690	1289	576
691	1291	574
692	1292	572
693	1293	570
694	1294	568
695	1296	566
696	1297	564
697	1298	562
698	1302	560
699	1304	558
700	1305	556
701	1306	554
702	1308	552
703	1309	550
704	1310	548
705	1311	546
706	1312	544
707	1315	542
708	1317	540
709	1318	538
710	1320	536
711	1321	534
712	1322	532
713	1323	530
714	1325	528
715	1326	526
716	1327	524
717	1330	522
718	1332	520
719	1333	518
720	1335	516
721	1336	514
722	1337	512
723	1338	510
724	1339	508
725	1340	506
726	1341	503
727	1343	501
728	1345	500
729	1346	498
730	1348	496
731	1349	494
732	1350	491
733	1351	489
734	1352	487
735	1354	485
736	1355	483
737	1356	481
738	1358	479
739	1360	478
740	1362	476
741	1363	474
742	1364	472
743	1366	470
744	1367	468
745	1368	465
746	1369	463
747	1370	461
748	1371	459
749	1373	457
750	1375	455
751	1376	453
752	1377	451
753	1379	449
754	1380	448
755	1381	445
756	1383	443
757	1384	441
758	1385	439
759	1386	437
760	1387	435
761	1390	434
762	1392	432
763	1394	430
764	1395	428
765	1396	426
766	1398	424
767	1399	422
768	1401	420
769	1402	419
770	1406	417
771	1408	415
772	1409	414
773	1411	412
774	1412	410
775	1413	408
776	1414	406
777	1415	404
778	1417	402
779	1418	399
780	1421	398
781	1422	396
782	1424	394
783	1425	392
784	1426	390
785	1427	388
786	1429	386
787	1430	384
788	1431	382
789	1432	380
790	1436	379
791	1437	377
792	1439	375
793	1441	373
794	1442	371
795	1444	370
796	1445	368
797	1446	366
798	1447	364
799	1450	362
800	1451	360
801	1453	358
802	1454	356
803	1455	354
804	1456	352
805	1458	350
806	1459	348
807	1460	346
808	1461	345
809	1462	343
810	1465	341
811	1466	339
812	1468	337
813	1469	335
814	1471	333
815	1472	332
816	1473	330
817	1474	328
818	1476	326
819	1477	324
820	1480	322
821	1482	321
822	1484	319
823	1485	317
824	1487	315
825	1489	313
826	1490	311
827	1492	309
828	1493	308
829	1495	306
830	1497	304
